Start Date,End Date,County,Region,State,Property Type,Median Sale Price,Median Sale Price MoM,Median List Price,Median List Price MoM,Median Price per Sqft,Median Price per Sqft MoM,Median List Price per Sqft,Median List Price per Sqft MoM,Homes Sold,Homes Sold MoM,Pending Sales,Pending Sales MoM,New Listings,New Listings MoM,Months of Supply,Months of Supply MoM,Median Days on Market,Median Days on Market MoM,Average Sale to List,Average Sale to List MoM,Sold Above List,Sold Above List MoM,Price Drops,Price Drops MoM,Off Market in Two Weeks,Off Market in Two Weeks MoM
2023-03-01,2023-03-31,Essex County,North,NJ,Townhouse,614000.0,72.71%,"$549,999.00",6.29%,352.79,61.40%,$295.86,7.81%,2,0.00%,4,-20.00%,6,-40.00%,9,-50.00%,64,-2100.00%,111.55%,13.68%,50.00%,50.00%,16.67%,-4.39%,25.00%,5.00%
2023-04-01,2023-04-30,Essex County,North,NJ,All Residential,560000.0,9.80%,"$559,000.00",1.64%,317.58,11.82%,$304.43,2.90%,410,-14.41%,430,-8.12%,604,-9.31%,3,50.00%,34,-1500.00%,104.89%,2.19%,66.10%,9.31%,6.16%,-1.51%,39.07%,-0.89%
2023-04-01,2023-04-30,Essex County,North,NJ,Condo,302500.0,21.00%,"$559,000.00",1.64%,276.94,3.80%,$304.43,2.90%,29,-23.68%,26,-7.14%,35,-12.50%,2,60.00%,29,-1800.00%,102.00%,0.38%,58.62%,13.88%,5.06%,-0.06%,34.62%,20.33%
2023-04-01,2023-04-30,Essex County,North,NJ,Multi-Family (2-4 Unit),562500.0,-2.17%,"$559,000.00",1.64%,202.03,2.59%,$304.43,2.90%,92,-26.98%,98,-2.97%,144,-23.81%,5,120.00%,52,-2000.00%,101.98%,0.31%,57.61%,4.43%,4.55%,-0.29%,17.35%,-12.36%
2023-04-01,2023-04-30,Essex County,North,NJ,Single Family Residential,584000.0,16.80%,"$559,000.00",1.64%,344.73,3.82%,$304.43,2.90%,285,-9.24%,301,-10.15%,418,-3.02%,2,40.00%,28,-1700.00%,106.16%,2.99%,69.47%,9.60%,7.49%,-2.93%,46.84%,1.47%
2023-04-01,2023-04-30,Essex County,North,NJ,Townhouse,481156.0,-21.64%,"$559,000.00",1.64%,321.91,-8.75%,$304.43,2.90%,4,100.00%,5,25.00%,7,16.67%,4,-470.00%,53,-1100.00%,101.95%,-9.60%,75.00%,25.00%,11.76%,-4.90%,20.00%,-5.00%
2023-05-01,2023-05-31,Essex County,North,NJ,All Residential,580000.0,3.57%,"$586,500.00",4.92%,310.34,-2.28%,$300.72,-1.22%,498,21.46%,528,22.79%,696,15.23%,2,-50.00%,27,-700.00%,107.51%,2.62%,74.10%,8.00%,6.68%,0.52%,42.80%,3.73%
2023-05-01,2023-05-31,Essex County,North,NJ,Condo,275000.0,-9.09%,"$586,500.00",4.92%,278.72,0.64%,$300.72,-1.22%,23,-20.69%,20,-23.08%,30,-14.29%,3,70.00%,19,-1000.00%,104.81%,2.81%,69.57%,10.94%,7.69%,2.63%,35.00%,0.38%
2023-05-01,2023-05-31,Essex County,North,NJ,Multi-Family (2-4 Unit),565000.0,0.44%,"$586,500.00",4.92%,196.3,-2.84%,$300.72,-1.22%,127,38.04%,115,17.35%,181,25.69%,3,-130.00%,60,800.00%,102.85%,0.87%,62.20%,4.60%,3.84%,-0.71%,21.74%,4.39%
2023-05-01,2023-05-31,Essex County,North,NJ,Single Family Residential,610000.0,4.45%,"$586,500.00",4.92%,357.92,3.83%,$300.72,-1.22%,346,21.40%,387,28.57%,475,13.64%,2,-40.00%,20,-800.00%,109.38%,3.22%,78.61%,9.14%,8.32%,0.84%,49.87%,3.03%
2023-05-01,2023-05-31,Essex County,North,NJ,Townhouse,610000.0,26.78%,"$586,500.00",4.92%,227.06,-29.47%,$300.72,-1.22%,2,-50.00%,6,20.00%,10,42.86%,9,520.00%,63,1000.00%,108.40%,6.45%,100.00%,25.00%,10.53%,-1.24%,16.67%,-3.33%
2023-06-01,2023-06-30,Essex County,North,NJ,All Residential,595000.0,2.59%,"$549,000.00",-6.39%,346.08,11.51%,$295.72,-1.66%,609,22.29%,560,6.06%,736,5.75%,2,-50.00%,31,400.00%,107.55%,0.05%,73.23%,-0.86%,8.53%,1.84%,33.75%,-9.05%
2023-06-01,2023-06-30,Essex County,North,NJ,Condo,273500.0,-0.55%,"$549,000.00",-6.39%,275.31,-1.22%,$295.72,-1.66%,38,65.22%,33,65.00%,44,46.67%,2,-140.00%,50,3100.00%,102.62%,-2.19%,44.74%,-24.83%,7.79%,0.10%,18.18%,-16.82%
2023-06-01,2023-06-30,Essex County,North,NJ,Multi-Family (2-4 Unit),562500.0,-0.44%,"$549,000.00",-6.39%,205.07,4.47%,$295.72,-1.66%,118,-7.09%,114,-0.87%,218,20.44%,4,60.00%,62,200.00%,103.45%,0.60%,67.80%,5.59%,5.72%,1.88%,17.54%,-4.20%
2023-06-01,2023-06-30,Essex County,North,NJ,Single Family Residential,641750.0,5.20%,"$549,000.00",-6.39%,378.35,5.71%,$295.72,-1.66%,448,29.48%,407,5.17%,467,-1.68%,1,-50.00%,20,0.00%,109.00%,-0.38%,76.79%,-1.83%,11.16%,2.84%,39.56%,-10.31%
2023-06-01,2023-06-30,Essex County,North,NJ,Townhouse,350000.0,-42.62%,"$549,000.00",-6.39%,296.51,30.59%,$295.72,-1.66%,5,150.00%,6,0.00%,7,-30.00%,3,-570.00%,47,-1600.00%,110.50%,2.10%,100.00%,0.00%,0.00%,0.00%,33.33%,16.67%
2023-07-01,2023-07-31,Essex County,North,NJ,All Residential,610500.0,2.61%,"$565,000.00",2.91%,324.61,-6.20%,$303.72,2.70%,559,-8.21%,415,-25.89%,558,-24.18%,2,30.00%,25,-600.00%,107.58%,0.03%,73.88%,0.65%,7.15%,-1.38%,29.16%,-4.59%
2023-07-01,2023-07-31,Essex County,North,NJ,Condo,301000.0,10.05%,"$565,000.00",2.91%,332.6,20.81%,$303.72,2.70%,32,-15.79%,27,-18.18%,38,-13.64%,2,50.00%,35,-1500.00%,103.92%,1.30%,75.00%,30.26%,5.00%,-2.79%,25.93%,7.74%
2023-07-01,2023-07-31,Essex County,North,NJ,Multi-Family (2-4 Unit),585000.0,4.00%,"$565,000.00",2.91%,197.8,-3.55%,$303.72,2.70%,112,-5.08%,102,-10.53%,148,-32.11%,4,10.00%,53,-900.00%,104.43%,0.98%,65.18%,-2.62%,6.87%,1.15%,14.71%,-2.84%
2023-07-01,2023-07-31,Essex County,North,NJ,Single Family Residential,650000.0,1.29%,"$565,000.00",2.91%,368.5,-2.60%,$303.72,2.70%,409,-8.71%,274,-32.68%,360,-22.91%,1,20.00%,21,100.00%,108.76%,-0.24%,76.28%,-0.50%,7.47%,-3.69%,35.77%,-3.79%
2023-07-01,2023-07-31,Essex County,North,NJ,Townhouse,632500.0,80.71%,"$565,000.00",2.91%,322.5,8.76%,$303.72,2.70%,6,20.00%,12,100.00%,12,71.43%,2,-100.00%,72,2500.00%,105.59%,-4.91%,66.67%,-33.33%,17.65%,0.00%,8.33%,-25.00%
2023-08-01,2023-08-31,Essex County,North,NJ,All Residential,628000.0,2.87%,"$519,900.00",-7.98%,329.93,1.64%,$280.57,-7.62%,624,11.63%,512,23.37%,562,0.72%,2,-40.00%,30,500.00%,107.05%,-0.54%,72.60%,-1.29%,8.86%,1.71%,30.66%,1.51%
2023-08-01,2023-08-31,Essex County,North,NJ,Condo,285000.0,-5.32%,"$519,900.00",-7.98%,259.75,-21.90%,$280.57,-7.62%,34,6.25%,35,29.63%,46,21.05%,2,0.00%,42,700.00%,104.76%,0.85%,61.76%,-13.24%,7.06%,2.06%,31.43%,5.50%
2023-08-01,2023-08-31,Essex County,North,NJ,Multi-Family (2-4 Unit),600000.0,2.56%,"$519,900.00",-7.98%,222.74,12.61%,$280.57,-7.62%,135,20.54%,114,11.76%,156,5.41%,3,-80.00%,70,1700.00%,104.08%,-0.34%,65.19%,0.01%,6.61%,-0.26%,19.30%,4.59%
2023-08-01,2023-08-31,Essex County,North,NJ,Single Family Residential,690000.0,6.15%,"$519,900.00",-7.98%,378.79,2.79%,$280.57,-7.62%,449,9.78%,357,30.29%,351,-2.50%,1,-40.00%,23,200.00%,108.08%,-0.68%,75.50%,-0.78%,10.92%,3.45%,34.45%,-1.31%
2023-08-01,2023-08-31,Essex County,North,NJ,Townhouse,440000.0,-30.43%,"$519,900.00",-7.98%,288.41,-10.57%,$280.57,-7.62%,6,0.00%,6,-50.00%,9,-25.00%,3,50.00%,64,-800.00%,109.85%,4.25%,83.33%,16.67%,20.00%,2.35%,16.67%,8.33%
2023-09-01,2023-09-30,Essex County,North,NJ,All Residential,575000.0,-8.44%,"$577,000.00",10.98%,333.62,1.12%,$313.98,11.91%,465,-25.48%,420,-17.97%,552,-1.78%,2,60.00%,35,500.00%,105.95%,-1.10%,70.97%,-1.63%,10.76%,1.90%,26.19%,-4.47%
2023-09-01,2023-09-30,Essex County,North,NJ,Condo,360000.0,26.32%,"$577,000.00",10.98%,303.83,16.97%,$313.98,11.91%,35,2.94%,35,0.00%,39,-15.22%,2,-20.00%,43,100.00%,106.90%,2.13%,65.71%,3.95%,7.41%,0.35%,28.57%,-2.86%
2023-09-01,2023-09-30,Essex County,North,NJ,Multi-Family (2-4 Unit),585000.0,-2.50%,"$577,000.00",10.98%,238.96,7.28%,$313.98,11.91%,95,-29.63%,113,-0.88%,146,-6.41%,4,110.00%,43,-2700.00%,104.70%,0.62%,69.47%,4.29%,8.24%,1.63%,19.47%,0.17%
2023-09-01,2023-09-30,Essex County,North,NJ,Single Family Residential,600000.0,-13.04%,"$577,000.00",10.98%,355.38,-6.18%,$313.98,11.91%,331,-26.28%,268,-24.93%,361,2.85%,2,60.00%,31,800.00%,106.24%,-1.83%,71.60%,-3.90%,12.89%,1.97%,29.10%,-5.35%
2023-09-01,2023-09-30,Essex County,North,NJ,Townhouse,432500.0,-1.70%,"$577,000.00",10.98%,268.29,-6.98%,$313.98,11.91%,4,-33.33%,4,-33.33%,6,-33.33%,5,220.00%,61,-300.00%,103.16%,-6.69%,100.00%,16.67%,9.09%,-10.91%,0.00%,-16.67%
2023-10-01,2023-10-31,Essex County,North,NJ,All Residential,552000.0,-4.00%,"$537,000.00",-6.93%,310.91,-6.81%,$301.83,-3.87%,468,0.65%,399,-5.00%,525,-4.89%,2,0.00%,42,700.00%,104.75%,-1.20%,66.67%,-4.30%,8.99%,-1.77%,32.33%,6.14%
2023-10-01,2023-10-31,Essex County,North,NJ,Condo,285000.0,-20.83%,"$537,000.00",-6.93%,308.26,1.46%,$301.83,-3.87%,32,-8.57%,25,-28.57%,38,-2.56%,2,40.00%,37,-600.00%,102.89%,-4.01%,53.12%,-12.59%,5.81%,-1.59%,24.00%,-4.57%
2023-10-01,2023-10-31,Essex County,North,NJ,Multi-Family (2-4 Unit),580000.0,-0.85%,"$537,000.00",-6.93%,236.74,-0.93%,$301.83,-3.87%,138,45.26%,89,-21.24%,165,13.01%,3,-130.00%,73,3000.00%,103.86%,-0.84%,69.57%,0.09%,5.39%,-2.85%,24.72%,5.25%
2023-10-01,2023-10-31,Essex County,North,NJ,Single Family Residential,556500.0,-7.25%,"$537,000.00",-6.93%,346.11,-2.61%,$301.83,-3.87%,293,-11.48%,276,2.99%,315,-12.74%,2,20.00%,34,300.00%,105.38%,-0.86%,66.89%,-4.71%,12.09%,-0.80%,35.14%,6.04%
2023-10-01,2023-10-31,Essex County,North,NJ,Townhouse,450000.0,4.05%,"$537,000.00",-6.93%,325.74,21.41%,$301.83,-3.87%,5,25.00%,9,125.00%,7,16.67%,3,-190.00%,72,1100.00%,103.95%,0.80%,60.00%,-40.00%,22.22%,13.13%,44.44%,44.44%
2023-11-01,2023-11-30,Essex County,North,NJ,All Residential,575000.0,4.17%,"$519,000.00",-3.35%,335.63,7.95%,$287.31,-4.81%,471,0.64%,373,-6.52%,460,-12.38%,2,-20.00%,39,-300.00%,106.82%,2.07%,73.46%,6.79%,10.01%,1.02%,30.03%,-2.30%
2023-11-01,2023-11-30,Essex County,North,NJ,Condo,355000.0,24.56%,"$519,000.00",-3.35%,331.85,7.65%,$287.31,-4.81%,31,-3.12%,23,-8.00%,32,-15.79%,2,0.00%,48,1100.00%,106.81%,3.93%,70.97%,17.84%,9.41%,3.60%,30.43%,6.43%
2023-11-01,2023-11-30,Essex County,North,NJ,Multi-Family (2-4 Unit),568750.0,-1.94%,"$519,000.00",-3.35%,207.68,-12.27%,$287.31,-4.81%,124,-10.14%,94,5.62%,157,-4.85%,3,20.00%,66,-700.00%,104.61%,0.75%,69.35%,-0.21%,4.87%,-0.52%,22.34%,-2.38%
2023-11-01,2023-11-30,Essex County,North,NJ,Single Family Residential,610000.0,9.61%,"$519,000.00",-3.35%,370.14,6.94%,$287.31,-4.81%,315,7.51%,253,-8.33%,259,-17.78%,1,-40.00%,27,-700.00%,107.63%,2.25%,75.24%,8.34%,14.63%,2.54%,32.81%,-2.34%
2023-11-01,2023-11-30,Essex County,North,NJ,Townhouse,300000.0,-33.33%,"$519,000.00",-3.35%,,,$287.31,-4.81%,1,-80.00%,3,-66.67%,12,71.43%,21,1740.00%,51,-2100.00%,125.00%,21.05%,100.00%,40.00%,14.29%,-7.94%,33.33%,-11.11%
2023-12-01,2023-12-31,Essex County,North,NJ,All Residential,560000.0,-2.61%,"$550,000.00",5.97%,312.89,-6.77%,$281.17,-2.14%,441,-6.37%,305,-18.23%,256,-44.35%,2,-20.00%,42,300.00%,105.89%,-0.93%,68.25%,-5.21%,9.03%,-0.97%,20.33%,-9.70%
2023-12-01,2023-12-31,Essex County,North,NJ,Condo,285000.0,-19.72%,"$550,000.00",5.97%,285.57,-13.95%,$281.17,-2.14%,27,-12.90%,24,4.35%,19,-40.62%,2,-10.00%,53,500.00%,105.41%,-1.41%,62.96%,-8.00%,7.25%,-2.17%,4.17%,-26.27%
2023-12-01,2023-12-31,Essex County,North,NJ,Multi-Family (2-4 Unit),585000.0,2.86%,"$550,000.00",5.97%,229.47,10.49%,$281.17,-2.14%,108,-12.90%,91,-3.19%,97,-38.22%,3,20.00%,62,-400.00%,103.29%,-1.32%,72.22%,2.87%,6.91%,2.05%,23.08%,0.74%
2023-12-01,2023-12-31,Essex County,North,NJ,Single Family Residential,585000.0,-4.10%,"$550,000.00",5.97%,359.17,-2.96%,$281.17,-2.14%,305,-3.17%,187,-26.09%,135,-47.88%,1,-30.00%,36,900.00%,106.90%,-0.73%,67.54%,-7.70%,11.37%,-3.26%,21.39%,-11.42%
2023-12-01,2023-12-31,Essex County,North,NJ,Townhouse,911490.0,203.83%,"$550,000.00",5.97%,304.34,,$281.17,-2.14%,1,0.00%,3,0.00%,5,-58.33%,23,200.00%,110,5900.00%,91.24%,-33.76%,0.00%,-100.00%,13.04%,-1.24%,0.00%,-33.33%
2024-01-01,2024-01-31,Essex County,North,NJ,All Residential,550000.0,-1.79%,"$563,875.00",2.52%,302.23,-3.41%,$305.21,8.55%,360,-18.37%,309,1.31%,543,112.11%,2,70.00%,43,100.00%,104.73%,-1.16%,67.22%,-1.03%,8.19%,-0.85%,32.04%,11.71%
2024-01-01,2024-01-31,Essex County,North,NJ,Condo,275000.0,-3.51%,"$563,875.00",2.52%,285.09,-0.17%,$305.21,8.55%,17,-37.04%,19,-20.83%,46,142.11%,4,220.00%,51,-200.00%,107.44%,2.03%,64.71%,1.74%,6.10%,-1.15%,21.05%,16.89%
2024-01-01,2024-01-31,Essex County,North,NJ,Multi-Family (2-4 Unit),560000.0,-4.27%,"$563,875.00",2.52%,224.19,-2.30%,$305.21,8.55%,110,1.85%,87,-4.40%,173,78.35%,3,0.00%,47,-1500.00%,103.82%,0.53%,66.36%,-5.86%,7.14%,0.23%,20.69%,-2.39%
2024-01-01,2024-01-31,Essex County,North,NJ,Single Family Residential,555900.0,-4.97%,"$563,875.00",2.52%,340.58,-5.18%,$305.21,8.55%,228,-25.25%,197,5.35%,314,132.59%,2,70.00%,40,400.00%,104.96%,-1.95%,67.98%,0.44%,9.64%,-1.73%,38.58%,17.19%
2024-01-01,2024-01-31,Essex County,North,NJ,Townhouse,395000.0,-56.66%,"$563,875.00",2.52%,270.36,-11.16%,$305.21,8.55%,5,400.00%,6,100.00%,10,100.00%,5,-1780.00%,63,-4700.00%,104.81%,13.57%,60.00%,60.00%,11.54%,-1.51%,16.67%,16.67%
2024-02-01,2024-02-29,Essex County,North,NJ,All Residential,550000.0,0.00%,"$595,000.00",5.52%,304.05,0.60%,$324.13,6.20%,335,-6.94%,347,12.30%,503,-7.37%,3,20.00%,56,1300.00%,104.46%,-0.27%,61.49%,-5.73%,7.03%,-1.16%,39.48%,7.44%
2024-02-01,2024-02-29,Essex County,North,NJ,Condo,285000.0,3.64%,"$595,000.00",5.52%,294.46,3.29%,$324.13,6.20%,23,35.29%,25,31.58%,42,-8.70%,4,-80.00%,45,-600.00%,103.02%,-4.42%,69.57%,4.86%,8.60%,2.50%,24.00%,2.95%
2024-02-01,2024-02-29,Essex County,North,NJ,Multi-Family (2-4 Unit),585500.0,4.55%,"$595,000.00",5.52%,213.18,-4.91%,$324.13,6.20%,114,3.64%,98,12.64%,156,-9.83%,3,-10.00%,75,2800.00%,103.08%,-0.74%,57.02%,-9.35%,4.47%,-2.67%,26.53%,5.84%
2024-02-01,2024-02-29,Essex County,North,NJ,Single Family Residential,550000.0,-1.06%,"$595,000.00",5.52%,367.43,7.88%,$324.13,6.20%,195,-14.47%,216,9.64%,293,-6.69%,2,40.00%,50,1000.00%,105.40%,0.45%,63.08%,-4.91%,9.43%,-0.21%,47.69%,9.11%
2024-02-01,2024-02-29,Essex County,North,NJ,Townhouse,518000.0,31.14%,"$595,000.00",5.52%,300.46,11.14%,$324.13,6.20%,3,-40.00%,8,33.33%,12,20.00%,8,350.00%,33,-3000.00%,105.72%,0.91%,66.67%,6.67%,3.85%,-7.69%,25.00%,8.33%
2024-03-01,2024-03-31,Essex County,North,NJ,All Residential,560000.0,1.82%,"$613,475.00",3.11%,327.27,7.64%,$320.05,-1.26%,365,8.96%,451,29.97%,624,24.06%,3,-10.00%,38,-1800.00%,106.06%,1.60%,70.96%,9.47%,6.97%,-0.05%,43.46%,3.98%
2024-03-01,2024-03-31,Essex County,North,NJ,Condo,350000.0,22.81%,"$613,475.00",3.11%,315.0,6.98%,$320.05,-1.26%,26,13.04%,36,44.00%,48,14.29%,3,-30.00%,30,-1500.00%,104.52%,1.50%,53.85%,-15.72%,9.38%,0.77%,36.11%,12.11%
2024-03-01,2024-03-31,Essex County,North,NJ,Multi-Family (2-4 Unit),550000.0,-6.06%,"$613,475.00",3.11%,216.95,1.77%,$320.05,-1.26%,100,-12.28%,126,28.57%,180,15.38%,4,50.00%,68,-700.00%,103.11%,0.03%,64.00%,6.98%,5.20%,0.73%,26.19%,-0.34%
2024-03-01,2024-03-31,Essex County,North,NJ,Single Family Residential,600000.0,9.09%,"$613,475.00",3.11%,392.64,6.86%,$320.05,-1.26%,235,20.51%,278,28.70%,369,25.94%,2,-30.00%,27,-2300.00%,107.55%,2.15%,75.74%,12.67%,8.06%,-1.37%,52.16%,4.47%
2024-03-01,2024-03-31,Essex County,North,NJ,Townhouse,512500.0,-1.06%,"$613,475.00",3.11%,210.23,-30.03%,$320.05,-1.26%,4,33.33%,11,37.50%,27,125.00%,9,110.00%,63,3000.00%,102.96%,-2.76%,75.00%,8.33%,7.69%,3.85%,45.45%,20.45%
2024-04-01,2024-04-30,Essex County,North,NJ,All Residential,619000.0,10.54%,"$649,900.00",5.94%,349.37,6.75%,$344.06,7.50%,435,19.18%,492,9.09%,705,12.98%,2,-30.00%,28,-1000.00%,108.32%,2.26%,73.56%,2.60%,9.21%,2.23%,40.65%,-2.81%
2024-04-01,2024-04-30,Essex County,North,NJ,Condo,327000.0,-6.57%,"$649,900.00",5.94%,341.61,8.45%,$344.06,7.50%,39,50.00%,49,36.11%,62,29.17%,2,-120.00%,28,-200.00%,107.83%,3.30%,69.23%,15.38%,11.22%,1.85%,42.86%,6.75%
2024-04-01,2024-04-30,Essex County,North,NJ,Multi-Family (2-4 Unit),615000.0,11.82%,"$649,900.00",5.94%,252.07,16.19%,$344.06,7.50%,125,25.00%,105,-16.67%,163,-9.44%,3,-80.00%,58,-1000.00%,104.48%,1.37%,65.60%,1.60%,6.59%,1.39%,19.05%,-7.14%
2024-04-01,2024-04-30,Essex County,North,NJ,Single Family Residential,675000.0,12.50%,"$649,900.00",5.94%,400.54,2.01%,$344.06,7.50%,268,14.04%,314,12.95%,440,19.24%,2,0.00%,21,-600.00%,110.21%,2.65%,77.99%,2.24%,11.15%,3.09%,47.45%,-4.71%
2024-04-01,2024-04-30,Essex County,North,NJ,Townhouse,550000.0,7.32%,"$649,900.00",5.94%,346.46,64.80%,$344.06,7.50%,3,-25.00%,24,118.18%,40,48.15%,17,790.00%,58,-500.00%,106.28%,3.32%,66.67%,-8.33%,5.66%,-2.03%,41.67%,-3.79%
2022-01-01,2022-01-31,Hudson County,North,NJ,All Residential,583250.0,-0.30%,"$599,000.00",-2.59%,396.63,1.54%,$461.41,4.47%,482,-22.26%,410,11.11%,604,62.80%,3,50.00%,59,100.00%,99.18%,0.35%,31.33%,3.10%,10.78%,1.21%,28.29%,7.43%
2022-01-01,2022-01-31,Hudson County,North,NJ,Condo,568000.0,-3.08%,"$599,000.00",-2.59%,581.89,2.73%,$461.41,4.47%,267,-21.47%,257,30.46%,382,61.18%,3,60.00%,59,0.00%,99.23%,0.35%,22.85%,-0.39%,11.17%,1.03%,31.52%,8.67%
2022-01-01,2022-01-31,Hudson County,North,NJ,Multi-Family (2-4 Unit),685000.0,7.87%,"$599,000.00",-2.59%,295.4,5.25%,$461.41,4.47%,123,-21.15%,86,-11.34%,140,86.67%,3,60.00%,58,-200.00%,99.24%,0.71%,43.90%,11.21%,9.31%,1.39%,29.07%,13.61%
2022-01-01,2022-01-31,Hudson County,North,NJ,Single Family Residential,465000.0,-8.82%,"$599,000.00",-2.59%,321.86,-5.13%,$461.41,4.47%,85,-24.78%,60,-14.29%,74,45.10%,2,20.00%,62,1600.00%,98.93%,-0.22%,38.82%,0.77%,14.14%,3.27%,13.33%,-8.10%
2022-01-01,2022-01-31,Hudson County,North,NJ,Townhouse,510000.0,1.80%,"$599,000.00",-2.59%,345.03,16.98%,$461.41,4.47%,7,-36.36%,7,40.00%,8,0.00%,3,80.00%,85,100.00%,99.25%,0.97%,42.86%,24.68%,17.39%,2.58%,28.57%,-11.43%
2022-02-01,2022-02-28,Hudson County,North,NJ,All Residential,565000.0,-3.13%,"$599,000.00",0.00%,377.86,-4.73%,$438.08,-5.06%,422,-12.45%,397,-3.17%,687,13.74%,3,60.00%,61,200.00%,97.97%,-1.21%,21.80%,-9.53%,8.10%,-2.67%,47.86%,19.57%
2022-02-01,2022-02-28,Hudson County,North,NJ,Condo,495000.0,-12.85%,"$599,000.00",0.00%,512.47,-11.93%,$438.08,-5.06%,209,-21.72%,240,-6.61%,445,16.49%,4,130.00%,68,900.00%,98.32%,-0.91%,14.83%,-8.01%,7.78%,-3.39%,50.83%,19.32%
2022-02-01,2022-02-28,Hudson County,North,NJ,Multi-Family (2-4 Unit),660000.0,-3.65%,"$599,000.00",0.00%,320.51,8.50%,$438.08,-5.06%,111,-9.76%,92,6.98%,141,0.71%,3,20.00%,56,-200.00%,97.41%,-1.82%,26.13%,-17.78%,6.58%,-2.73%,38.04%,8.97%
2022-02-01,2022-02-28,Hudson County,North,NJ,Single Family Residential,465000.0,0.00%,"$599,000.00",0.00%,332.35,3.26%,$438.08,-5.06%,96,12.94%,58,-3.33%,91,22.97%,2,-20.00%,57,-500.00%,97.82%,-1.11%,33.33%,-5.49%,13.76%,-0.38%,53.45%,40.11%
2022-02-01,2022-02-28,Hudson County,North,NJ,Townhouse,497500.0,-2.45%,"$599,000.00",0.00%,291.96,-15.38%,$438.08,-5.06%,6,-14.29%,7,0.00%,10,25.00%,3,20.00%,194,10900.00%,98.53%,-0.73%,0.00%,-42.86%,4.76%,-12.63%,28.57%,0.00%
2022-03-01,2022-03-31,Hudson County,North,NJ,All Residential,600000.0,6.19%,"$597,000.00",-0.33%,414.51,9.70%,$439.92,0.42%,553,31.04%,577,45.34%,941,36.97%,3,-60.00%,59,-200.00%,99.22%,1.25%,31.28%,9.48%,12.04%,3.93%,43.15%,-4.70%
2022-03-01,2022-03-31,Hudson County,North,NJ,Condo,587500.0,18.69%,"$597,000.00",-0.33%,573.81,11.97%,$439.92,0.42%,328,56.94%,380,58.33%,579,30.11%,3,-140.00%,55,-1300.00%,99.20%,0.88%,27.44%,12.61%,12.87%,5.09%,43.42%,-7.41%
2022-03-01,2022-03-31,Hudson County,North,NJ,Multi-Family (2-4 Unit),667500.0,1.14%,"$597,000.00",-0.33%,294.27,-8.19%,$439.92,0.42%,142,27.93%,110,19.57%,205,45.39%,3,-50.00%,65,900.00%,98.79%,1.37%,34.51%,8.38%,8.97%,2.38%,47.27%,9.23%
2022-03-01,2022-03-31,Hudson County,North,NJ,Single Family Residential,512000.0,10.11%,"$597,000.00",-0.33%,349.29,5.10%,$439.92,0.42%,73,-23.96%,84,44.83%,145,59.34%,3,100.00%,64,700.00%,100.20%,2.38%,43.84%,10.50%,18.55%,4.80%,38.10%,-15.35%
2022-03-01,2022-03-31,Hudson County,North,NJ,Townhouse,592000.0,18.99%,"$597,000.00",-0.33%,369.75,26.65%,$439.92,0.42%,10,66.67%,3,-57.14%,12,20.00%,2,-80.00%,43,-15100.00%,99.10%,0.57%,20.00%,20.00%,11.11%,6.35%,0.00%,-28.57%
2022-04-01,2022-04-30,Hudson County,North,NJ,All Residential,610000.0,1.67%,"$649,000.00",8.71%,444.58,7.25%,$485.23,10.30%,555,0.36%,556,-3.64%,814,-13.50%,3,20.00%,38,-2100.00%,100.12%,0.89%,40.36%,9.08%,12.61%,0.58%,38.85%,-4.31%
2022-04-01,2022-04-30,Hudson County,North,NJ,Condo,599000.0,1.96%,"$649,000.00",8.71%,614.33,7.06%,$485.23,10.30%,346,5.49%,363,-4.47%,524,-9.50%,3,10.00%,36,-1900.00%,100.15%,0.96%,36.71%,9.27%,14.64%,1.77%,41.05%,-2.37%
2022-04-01,2022-04-30,Hudson County,North,NJ,Multi-Family (2-4 Unit),675000.0,1.12%,"$649,000.00",8.71%,305.62,3.86%,$485.23,10.30%,116,-18.31%,103,-6.36%,165,-19.51%,3,70.00%,54,-1100.00%,99.86%,1.08%,44.83%,10.32%,8.97%,0.00%,35.92%,-11.35%
2022-04-01,2022-04-30,Hudson County,North,NJ,Single Family Residential,530000.0,3.52%,"$649,000.00",8.71%,362.25,3.71%,$485.23,10.30%,87,19.18%,82,-2.38%,111,-23.45%,2,-30.00%,45,-1900.00%,100.31%,0.11%,47.13%,3.29%,12.02%,-6.53%,32.93%,-5.17%
2022-04-01,2022-04-30,Hudson County,North,NJ,Townhouse,495000.0,-16.39%,"$649,000.00",8.71%,330.58,-10.59%,$485.23,10.30%,9,-10.00%,8,166.67%,14,16.67%,3,60.00%,61,1800.00%,100.13%,1.03%,55.56%,35.56%,16.67%,5.56%,37.50%,37.50%
2022-05-01,2022-05-31,Hudson County,North,NJ,All Residential,590000.0,-3.28%,"$620,000.00",-4.47%,428.77,-3.56%,$448.46,-7.58%,586,5.59%,542,-2.52%,820,0.74%,3,0.00%,34,-400.00%,100.60%,0.49%,44.37%,4.01%,14.03%,1.42%,35.24%,-3.61%
2022-05-01,2022-05-31,Hudson County,North,NJ,Condo,554500.0,-7.43%,"$620,000.00",-4.47%,585.42,-4.71%,$448.46,-7.58%,376,8.67%,376,3.58%,507,-3.24%,2,-20.00%,28,-800.00%,100.73%,0.57%,43.62%,6.91%,16.68%,2.05%,35.37%,-5.67%
